property_type,address,bedroom_number,bathroom_number,area,phone,description,listed_in_site,link,company,price
Twin House,"Palm Hills Palm Valley, 26th of July Corridor, 6 October City, Giza",3,3,460 sqm,tel:+20221257030,Twin house for sale in Palm Valley prime location,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-giza-6-october-city-26th-of-july-corridor-palm-hills-palm-valley-5028982.html,CBE New Homes logo image,"21,500,000 EGP"
Apartment,"Madinaty, Cairo",3,2,131 sqm,tel:+201096566594,131m2 Apartment Instant Delivery Madinaty Privado,Listed 15 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-madinaty-5028693.html,TMG Direct logo image,"2,411,600 EGP"
Twin House,"Palm Hills Palm Valley, 26th of July Corridor, 6 October City, Giza",3,3,460 sqm,tel:+20221257030,Twin house for sale in Palm Valley prime location,Listed 4 hours ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-giza-6-october-city-26th-of-july-corridor-palm-hills-palm-valley-5028982.html,CBE New Homes logo image,"21,500,000 EGP"
Penthouse,"Sun Capital, Fayoum Desert road, 6 October City, Giza",3,3,181 sqm,tel:+201155544006,Ready to move unit181m pyramids vie in Sun Capital,Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5029122.html,Esraa logo image,"11,158,000 EGP"
Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",5,4,255 sqm,tel:+201050113439,Ready to move with prime location,Listed 14 hours ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-5028763.html,Element not found,"13,125,000 EGP"
Apartment,"De Joya, New Zayed City, Sheikh Zayed City, Giza",3,3,170 sqm,tel:+201288736461,Special Offer @ New Zayed With Lowest Down Payment,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-de-joya-5028197.html,Egypt Best Properties West logo image,"10,000,000 EGP"
Apartment,"Joulz, Cairo Alexandria Desert Road, 6 October City, Giza",3,3,182 sqm,tel:+201116797144,Apartment for sale in joulz compound - phase 3,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-cairo-alexandria-desert-road-joulz-5028164.html,TAI - The Address Investments logo image,"6,907,000 EGP"
Penthouse,"Regents Park, Al Andalus District, New Cairo City, Cairo",3,3,252 sqm,tel:+201228888826,Penthouse for sale in Regents Park - New Cairo .,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-al-andalus-district-regents-park-5029102.html,RE/MAX Al Mohager logo image,"10,900,000 EGP"
Apartment,"Sephora Heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,220 sqm,tel:+201556799467,Ready To Move in the heart of New Cairo 220m,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-sephora-heights-5028983.html,Element not found,"6,800,000 EGP"
Apartment,"Nyoum mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2,143 sqm,tel:+201555514879,"3-room apartment for sale with a DP of 300,000",Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-nyoum-mostakbal-5028360.html,Noon Group logo image,"6,068,000 EGP"
Townhouse,"Heliopolis Hills, 6th District, Obour City, Qalyubia",4,4,227 sqm,tel:+201111748342,villa ready to move with 50 % doqn payment,Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-qalyubia-obour-city-6th-district-heliopolis-hills-5029178.html,معاك real estate consultancy logo image,"9,534,000 EGP"
Twin House,"Cleopatra Square, 26th of July Corridor, 6 October City, Giza",5,4,556 sqm,tel:+201111984362,twin house ready to move near to mall of arabia,Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-giza-6-october-city-26th-of-july-corridor-cleopatra-square-5029230.html,Property Hills Star logo image,Ask for price
Apartment,"Swan Lake, 26th of July Corridor, 6 October City, Giza",4,4,250 sqm,tel:+201288736461,Garden Apartment Prime Location @ Swan Lake DP 5%,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-26th-of-july-corridor-swan-lake-5028213.html,Egypt Best Properties West logo image,"23,000,000 EGP"
Apartment,"El Motamayez District, Badr City, Cairo",3,2,170 sqm,tel:+201026255489,"Your apartment is 170 square meters, corner with a",Listed 4 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-badr-city-el-motamayez-district-5028972.html,El Mamar Real Estate logo image,"1,400,000 EGP"
Apartment,"Kinda, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,245 sqm,tel:+201222390247,apartment for sale Taj city - KINDA,Listed 12 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-kinda-5028871.html,Element not found,"13,000,000 EGP"
Villa,"D-Bay, Qesm Ad Dabaah, North Coast",6,6,370 sqm,tel:+201200661438,"Modern finishing villa in Ras El Hekma,North Coast",Listed 23 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-qesm-ad-dabaah-d-bay-5028248.html,IMKAN Investments logo image,"12,000,000 EGP"
Villa,"Upville, Cairo Alexandria Desert Road, 6 October City, Giza",4,4,490 sqm,tel:+201027612792,twin house for sale villa upville compouned,Listed 16 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-cairo-alexandria-desert-road-upville-5028611.html,NP Real Estate logo image,"14,500,000 EGP"
Townhouse,"Westown, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,6,306 sqm,tel:+201211137000,High-End City Villa For Sale in Sodic Westown,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-westown-5028798.html,Element not found,"30,000,000 EGP"
Twin House,"La vista Ras El Hikma, Ras Al Hekma, North Coast",4,5,220 sqm,tel:+201094800402,Twinhouse 220M for sale in la vista rass elhekma,Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-north-coast-ras-al-hekma-la-vista-ras-el-hikma-5028337.html,Gold Real Estate logo image,"23,000,000 EGP"
Townhouse,"Toya Residential Compound, Hood 2 St., Green Belt, 6 October City, Giza",4,4,356 sqm,tel:+201007131216,Villa immediate delivery in Zayed on dahshor link,Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-green-belt-hood-2-st-toya-residential-compound-5029256.html,معاك real estate consultancy logo image,"14,463,721 EGP"
Apartment,"Bavaria Town, Zahraa El Maadi, Hay El Maadi, Cairo",3,1,155 sqm,tel:+201103133934,"Finished, Ready To Move at half company’s cash",Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-hay-el-maadi-zahraa-el-maadi-bavaria-town-5029129.html,Element not found,"4,000,000 EGP"
Penthouse,"Telal East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,300 sqm,tel:+201155270359,sky villa for sale 300 mi n Telal East new cairo .,Listed 17 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-telal-east-5028567.html,Element not found,Ask for price
Chalet,"Salt, Ras Al Hekma, North Coast",3,2,114 sqm,tel:+201015195898,chalet for sale sea view in salt Ras Elhekma 5% dp,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-salt-5028087.html,Element not found,"11,400,000 EGP"
Chalet,"La Vista Gardens, La Vista, Al Ain Al Sokhna, Suez",3,2,150 sqm,tel:+201155270359,Chalet for sale in La Vista Garden delivery now,Listed 17 hours ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-suez-al-ain-al-sokhna-la-vista-la-vista-gardens-5028563.html,Element not found,"12,700,000 EGP"
Apartment,"Nyoum mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,1,104 sqm,tel:+201555514879,"With a DP of 260,000 apartments for sale in nyoum",Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-nyoum-mostakbal-5028220.html,Noon Group logo image,"5,200,000 EGP"
Apartment,"MarVille New Zayed, New Zayed City, Sheikh Zayed City, Giza",3,3,158 sqm,tel:+201288736461,Apartment 3Bedrooms @New Zayed Lowest Down Payment,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-marville-new-zayed-5028199.html,Egypt Best Properties West logo image,"9,500,000 EGP"
Apartment,"MarVille New Zayed, New Zayed City, Sheikh Zayed City, Giza",3,3,158 sqm,tel:+201288736461,Apartment 3Bedrooms @New Zayed Lowest Down Payment,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-marville-new-zayed-5028199.html,Egypt Best Properties West logo image,"9,500,000 EGP"
Penthouse,"Sun Capital, Fayoum Desert road, 6 October City, Giza",3,3,150 sqm,tel:+201004333809,Penthouse with roof for sale Sun Capital Compound,Listed 12 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5028850.html,Capital River logo image,"8,868,000 EGP"
Apartment,"Nyoum mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,1,107 sqm,tel:+201555514879,"Apartment in a garden, with a DP 288,000 in nyoum",Listed 21 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-nyoum-mostakbal-5028418.html,Noon Group logo image,"5,777,000 EGP"
Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",3,3,145 sqm,tel:+201146210841,"Apartment in El Maqsed,READY TO MOVE, 5%Dp,Over10Y",Listed 12 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-5028905.html,Roots Real Estate logo image,"652,000 EGP"
Apartment,"Sun Capital, Fayoum Desert road, 6 October City, Giza",3,2,150 sqm,tel:+20221208363,"0% down payment, own your apartment With Garden",Listed 23 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5028273.html,Capital Agency For Real Estate logo image,"7,000,000 EGP"
Apartment,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",3,3,135 sqm,tel:+201288736461,The Most Prime Location Unit In New Zayed@ De Joya,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-vye-sodic-5028194.html,Egypt Best Properties West logo image,"8,900,000 EGP"
Apartment,"Nyoum mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2,144 sqm,tel:+201555514879,"3-bedroom apartment for sale, 30% cash discount",Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-nyoum-mostakbal-5028366.html,Noon Group logo image,"4,247,600 EGP"
Apartment,"Sun Capital, Fayoum Desert road, 6 October City, Giza",2,2,125 sqm,tel:+201556799467,two-bedroom apartment in October at old prices,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-fayoum-desert-road-sun-capital-5028994.html,Element not found,"4,700,000 EGP"
Villa,"Menorca Zayed, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3,333 sqm,tel:+201006667804,Villa SA 333m on greenary area view over 84 months,Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-menorca-zayed-5029181.html,Element not found,"22,900,000 EGP"
Penthouse,"Al Masyaf, Ras Al Hekma, North Coast",3,3,145 sqm,tel:+20221257244,penthouse 145 M Fully Finished Installments / 7 Y,Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-north-coast-ras-al-hekma-al-masyaf-5028300.html,El Misri properties logo image,"16,341,348 EGP"
Apartment,"Madinaty, Cairo",3,3,155 sqm,tel:+201096566594,155m2 Apartment Instant Delivery Madinaty Privado,Listed 14 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-madinaty-5028715.html,TMG Direct logo image,"2,616,200 EGP"
Penthouse,"Trio Gardens, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,155 sqm,tel:+201210003824,Penthouse 155m for sale in Trio Gardens -New Cairo,Listed 18 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-trio-gardens-5028511.html,Property Network logo image,"6,000,000 EGP"
Apartment,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",4,3,185 sqm,tel:+201288736461,The Most Prime Location Unit 4 Bedrooms @ De Joya,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-vye-sodic-5028190.html,Egypt Best Properties West logo image,"12,400,000 EGP"
Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",5,5,280 sqm,tel:+201050113439,Prime unit with prime location,Listed 10 hours ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-5028953.html,Element not found,"7,500,000 EGP"
Apartment,"Pyramids Heights, Cairo Alexandria Desert Road, 6 October City, Giza",2,3,137 sqm,tel:+201122048071,Well lighted ground + garden 2 BDR fully finished,Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-cairo-alexandria-desert-road-pyramids-heights-5028333.html,AMAKEN Misr logo image,"10,500,000 EGP"
Apartment,"MarVille New Zayed, New Zayed City, Sheikh Zayed City, Giza",3,3,170 sqm,tel:+201288736461,Special Offer @ New Zayed With Lowest Down Payment,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-marville-new-zayed-5028196.html,Egypt Best Properties West logo image,"10,000,000 EGP"
Apartment,"Nyoum mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,1,104 sqm,tel:+201555514879,"Apartment for sale with a 30% Cash discoun , nyoum",Listed 21 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-nyoum-mostakbal-5028383.html,Noon Group logo image,"3,640,000 EGP"
Apartment,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,213 sqm,tel:+201016645466,Penthouse for sale in Azad Fifth Settlement,Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azad-5029154.html,LEVEL UP Real Estate logo image,"12,000,000 EGP"
Apartment,"The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,175 sqm,tel:+201102988131,3BEDROOMS at Lowest price next to AUC|Over 9Years,Listed 21 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-icon-residence-5028379.html,Roots Real Estate logo image,"760,000 EGP"
Apartment,"Suli Golf Residence, New Capital Compounds, New Capital City, Cairo",3,3,155 sqm,tel:+201115500043,Apartment for sale in Suli View on Golf | 5%Dp 10Y,Listed 12 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-suli-golf-residence-5028888.html,Roots Real Estate logo image,"655,000 EGP"
Twin House,"Trio Villas, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",7,6,281 sqm,tel:+201272766663,For sale twin house 281 meters in new Cairo,Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-trio-villas-5028313.html,Element not found,"32,900,000 EGP"
Villa,"Al Yasmine Greenland, Al Motamayez District, 6 October City, Giza",6,6,"1,000 sqm",tel:+201027612792,villa for rent yassmin green land compouned,Listed 18 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-al-motamayez-district-al-yasmine-greenland-5028518.html,NP Real Estate logo image,"50,000,000 EGP"
Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",5,5,255 sqm,tel:+201050113439,Prime Location with prime view,Listed 10 hours ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-5028951.html,Element not found,"6,000,000 EGP"
Penthouse,"October Plaza, 6 October Compounds, 6 October City, Giza",3,4,200 sqm,tel:+201159665553,penthouse for sale octoberpaza compouned zayed,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-giza-6-october-city-6-october-compounds-october-plaza-5029055.html,NP Real Estate logo image,"9,800,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,150 sqm,tel:+201006816398,Apartment for sale in Mountain View iCity Compound,Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5029149.html,Your Zone For Real Estate logo image,"5,500,000 EGP"
Villa,"Mountain View Mostakbal City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,255 sqm,tel:+201100354338,villa in mountain view with 5% DP,Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-mountain-view-mostakbal-city-5028324.html,smartex logo image,"33,000,000 EGP"
Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,243 sqm,tel:+201070002929,Delivery Now Under Market Price Prime Location,Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5028322.html,ALux Investments logo image,"16,500,000 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,192 sqm,tel:+201159733198,Landscape View APT 192m-3BR at Hyde Park New Cairo,Listed 20 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5028431.html,Element not found,"8,554,658 EGP"
Chalet,"Salt, Ras Al Hekma, North Coast",3,2,118 sqm,tel:+201015195898,chalet for sale sea view in salt Ras Elhekma 5% dp,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-salt-5028081.html,Element not found,"12,400,000 EGP"
Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,159 sqm,tel:+201201799638,Prime location Apartment with Garden 48m2,Listed 20 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5028449.html,New Destination  Real Estate Consultancy logo image,"1,800,000 EGP"
Apartment,"Go Heliopolis, Masaken Al Mohandesin, Nasr City, Cairo",3,2,195 sqm,tel:+20221208446,open view apartment for sale in nasr city,Listed 21 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-nasr-city-masaken-al-mohandesin-go-heliopolis-5028422.html,IMKAN Investments logo image,"1,920,000 EGP"
Penthouse,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,196 sqm,tel:+201117911152,Resale Penthouse Ready To Move Semi Finished 196m.,Listed 18 hours ago,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-el-patio-oro-5028504.html,cottage logo image,"10,000,000 EGP"
Villa,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2,175 sqm,tel:+201015195898,wonder villa for sale in future city prim location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-the-wonder-marq-5028068.html,Element not found,"16,290,000 EGP"
Apartment,"Sephora Heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,220 sqm,tel:+201556799467,Ready To Move in the heart of New Cairo 220m,Listed 4 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-sephora-heights-5028985.html,Element not found,"6,800,000 EGP"
Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",1,1,79 sqm,tel:+20221256996,"Apartment, 79m for sale with the best location",Listed 14 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-5028767.html,Investwell logo image,"4,034,600 EGP"
Villa,"O West, 6 October Compounds, 6 October City, Giza",3,4,214 sqm,tel:+201006667804,Resale villa 214m ready to move - at special price,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-6-october-compounds-o-west-5029042.html,Element not found,"15,000,000 EGP"
Apartment,"Madinaty, Cairo",2,2,100 sqm,tel:+201096566594,Madinaty Privado 100m2 Apartment Direct from TMG,Listed 15 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-madinaty-5028652.html,TMG Direct logo image,"1,891,650 EGP"
Apartment,"La Colina, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,2,142 sqm,tel:+201284211770,Ground floor apartment with garden in La Colina,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-la-colina-5028789.html,Element not found,"7,810,000 EGP"
Apartment,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",studio,1,70 sqm,tel:+20108009453,Under market price With the old price Badya,Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-badya-palm-hills-5028312.html,Element not found,"2,830,000 EGP"
Chalet,"Salt, Ras Al Hekma, North Coast",3,2,114 sqm,tel:+201015195898,chalet for sale sea view in salt Ras Elhekma 5% dp,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-salt-5028090.html,Element not found,"11,900,000 EGP"
Apartment,"Nyoum mostakbal, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",1,1,63 sqm,tel:+201555514879,"Apartment with garden for sale, with a DP 151,000",Listed 14 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-nyoum-mostakbal-5028754.html,Noon Group logo image,"3,029,000 EGP"
Chalet,"Salt, Ras Al Hekma, North Coast",1,1,80 sqm,tel:+201014949564,Chalet 80M for sale in salt With 10% down payment,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-salt-5029078.html,Tradmark Real Estate logo image,"14,574,000 EGP"
Apartment,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",2,2,106 sqm,tel:+201066699903,2 Bedroom fully finished in Soma Down Payment 800K,Listed 15 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-red-sea-hurghada-safaga-soma-bay-mesca-5028697.html,Towers Map logo image,"8,000,000 EGP"
Villa,"The Villa, El Katameya Compounds, El Katameya, New Cairo City, Cairo",4,4,360 sqm,tel:+201019919782,Villa for sale in The Villa Compound New Cairo,Listed 21 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-the-villa-5028405.html,Element not found,"60,000,000 EGP"
Apartment,"Sephora Heights, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,220 sqm,tel:+201556799467,Ready To Move in the heart of New Cairo 220m,Listed 3 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-sephora-heights-5028990.html,Element not found,"6,800,000 EGP"
Villa,"Telal East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,300 sqm,tel:+201272766663,For sale 300 meters villa in the best of new Cairo,Listed 22 hours ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-telal-east-5028309.html,Element not found,"34,120,000 EGP"
Villa,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2,120 sqm,tel:+201015195898,wonder villa for sale in future city prim location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-the-wonder-marq-5028070.html,Element not found,"14,290,000 EGP"
Chalet,"Al Sokhna Hills, Al Ain Al Sokhna, Suez",3,2,128 sqm,tel:+201222317522,Chalet 3 BR Ready To Move Panorama Sea View,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-suez-al-ain-al-sokhna-al-sokhna-hills-5028777.html,Orbit consultancy logo image,"7,277,000 EGP"
Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,156 sqm,tel:+201101155888,5% DP Over 8 Yrs Apartment 3BR@Origami Taj city,Listed 2 hours ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-5029237.html,Roots Development logo image,"11,675,355 EGP"
Chalet,"June, Ras Al Hekma, North Coast",2,2,110 sqm,tel:+201288736461,First Launch In Ras El Hikma@ Ahly Sabbour |Summer,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-june-5028206.html,Egypt Best Properties West logo image,"9,000,000 EGP"
Villa,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2,120 sqm,tel:+201015195898,wonder villa for sale in future city prim location,Listed 1 day ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-the-wonder-marq-5028070.html,Element not found,"14,290,000 EGP"
Chalet,"Al Sokhna Hills, Al Ain Al Sokhna, Suez",3,2,128 sqm,tel:+201222317522,Chalet 3 BR Ready To Move Panorama Sea View,Listed 13 hours ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-suez-al-ain-al-sokhna-al-sokhna-hills-5028777.html,Orbit consultancy logo image,"7,277,000 EGP"
